#{"t_start": 1727017407.7318594, "env_id": "None"}
r,l,t
-1493.488453,200,14.893868
-1715.655812,200,27.709363
-1817.590804,200,40.57726
-1680.184515,200,53.454129
-1807.957723,200,67.335449
-1884.102864,200,80.216033
-1784.028714,200,92.834425
-1646.031887,200,105.340548
-1767.527831,200,118.126236
-1792.172179,200,130.834947
-1686.896576,200,143.511923
-1738.002167,200,157.703577
-1701.478745,200,170.866879
-1756.735973,200,183.542896
-1681.012777,200,196.03328
-1620.834752,200,208.459347
-1793.309478,200,220.994563
-1803.947725,200,234.448548
-1674.436079,200,247.930355
-1805.983093,200,260.647928
-1702.707446,200,273.233111
-1844.78958,200,285.993804
-1688.050558,200,298.607977
-1817.877037,200,311.187989
-1731.214972,200,325.341075
-1792.218694,200,338.640412
-1742.664464,200,351.419073
-1826.023732,200,364.032817
-1846.27247,200,376.902907
-1842.888673,200,389.606739
-1830.296039,200,402.949292
-1866.28662,200,416.368484
-1780.611362,200,429.029386
-1839.229581,200,441.663761
-1856.145255,200,454.123039
-1848.790632,200,466.773345
-1838.718851,200,479.252982
-1855.677123,200,493.125964
-1875.924538,200,506.232369
-1852.450766,200,518.801363
-1844.397073,200,531.186672
-1865.155685,200,543.661656
-1852.535495,200,556.32433
-1837.826874,200,568.948145
-1842.628691,200,583.231524
-1851.783339,200,595.995982
-1811.145645,200,608.733225
-1829.806092,200,621.393806
-1861.328676,200,634.174791
-1833.547443,200,646.988143
-1857.624696,200,660.858347
-1826.276311,200,674.147096
-1836.35808,200,686.90597
-1840.815531,200,699.816242
-1822.49037,200,712.493412
-1829.220824,200,725.147774
-1855.406426,200,737.777
-1853.970668,200,751.96867
-1889.058489,200,765.17822
-1852.014237,200,777.912334
-1871.342992,200,790.656153
-1883.121813,200,803.344842
-1848.687134,200,816.124492
-1804.289714,200,829.438231
-1849.194528,200,843.29181
-1770.91654,200,856.150409
-1488.303851,200,868.910998
-1682.973909,200,881.532436
-1645.756465,200,894.108502
-1595.521796,200,906.664728
-1665.479155,200,920.563775
-1725.029341,200,933.627259
-1676.557148,200,946.246492
-1667.277567,200,958.859115
-1530.402925,200,971.330026
-1490.409307,200,983.695993
-1195.766104,200,996.383303
-1159.344283,200,1010.635696
-1178.951423,200,1023.356992
-1294.351086,200,1035.948012
-1550.469686,200,1048.434466
-1498.579389,200,1061.326092
-1516.00483,200,1074.047161
-1477.145721,200,1087.737468
-1533.772954,200,1101.288371
-1360.79822,200,1113.992884
-1526.945235,200,1126.745061
-1496.061821,200,1139.580533
-1671.150269,200,1152.372694
-1515.039397,200,1165.124668
-1564.111324,200,1179.281718
-1564.506538,200,1192.256011
-1565.101864,200,1204.961576
-1563.062381,200,1217.687755
-1573.722061,200,1230.39786
-1562.415184,200,1242.951534
-1538.331655,200,1256.348655
-1355.931639,200,1270.202924
-1406.562829,200,1282.96704
-1488.545355,200,1295.704286
-1575.074879,200,1308.454537
-1542.411076,200,1321.371216
-1515.029482,200,1334.232095
-1653.468397,200,1348.306769
-1565.315143,200,1362.023002
-1545.197349,200,1375.465415
-1512.439992,200,1388.739856
-1829.069974,200,1401.381337
-1809.103657,200,1413.998292
-1698.887662,200,1426.804053
-1708.557513,200,1441.590844
-1529.45967,200,1454.854094
-1629.05439,200,1467.942911
-1052.311565,200,1481.04961
-1286.012922,200,1493.957493
-1152.523383,200,1506.574465
-975.13671,200,1520.125826
-1165.625409,200,1533.436105
-1040.976483,200,1546.087725
-1039.197128,200,1558.694099
-907.332773,200,1571.243597
-1642.740286,200,1583.912724
-933.919068,200,1596.576617
-1677.93834,200,1610.845621
-795.020423,200,1623.751265
-1658.877673,200,1636.332937
-1681.228547,200,1648.843156
-1682.077613,200,1661.320031
-1724.375718,200,1673.742006
-1534.897795,200,1686.766394
-920.62427,200,1700.355757
-819.897342,200,1712.961583
-814.703722,200,1725.522117
-728.26666,200,1738.206202
-692.057076,200,1750.872125
