#{"t_start": 1726819946.791892, "env_id": "None"}
r,l,t
-1450.166248,200,10.51049
-1371.722403,200,20.899181
-1546.043681,200,31.274294
-1471.284449,200,41.599255
-1496.984618,200,51.793793
-1592.22591,200,61.797383
-1520.039483,200,71.749233
-1608.134575,200,82.142089
-1628.929339,200,92.482196
-1500.192839,200,102.814405
-1581.442516,200,113.13949
-1233.340014,200,123.415255
-1477.967558,200,133.866851
-1493.438986,200,144.358753
-1492.190069,200,154.759779
-1097.226295,200,165.125707
-1426.463245,200,175.467987
-10.777209,200,185.747527
-1402.164851,200,196.059529
-1189.533234,200,207.409141
-1494.75409,200,218.041002
-1121.100725,200,228.640012
-1485.598516,200,239.38881
-1288.512185,200,250.37781
-6.142386,200,261.462179
-1340.717171,200,271.737803
-1456.783228,200,281.981517
-1267.935961,200,292.037051
-1495.444942,200,302.139227
-5.479838,200,312.137411
-4.903401,200,322.298729
-495.994345,200,332.650784
-870.148656,200,343.124511
-247.843056,200,353.135653
-254.256679,200,363.080391
-263.72063,200,373.074716
-114.320192,200,383.032126
-248.078606,200,393.01891
-240.616547,200,403.077046
-1511.152066,200,413.245486
-240.85247,200,423.496767
-1544.922216,200,433.647798
-122.399342,200,443.777066
-365.75332,200,453.998369
-1595.724376,200,464.138669
-136.3542,200,474.485655
-256.451782,200,484.597699
-5.376238,200,494.890286
-500.056106,200,505.044452
-1493.529318,200,515.293622
-393.688889,200,526.005221
-657.241722,200,536.318998
-256.494903,200,546.904505
-399.464764,200,557.182108
-139.968712,200,567.279449
-1509.319226,200,577.385907
-138.525698,200,587.451417
-137.259328,200,597.536098
-463.145338,200,607.784965
-1837.823582,200,617.77865
-1864.514834,200,627.826671
-131.035692,200,637.88215
-126.38375,200,647.922779
-265.432105,200,658.10423
-141.066508,200,668.444451
-1141.855954,200,678.680715
-1273.186942,200,688.902176
-266.932609,200,699.088757
-7.524492,200,709.285081
-138.123823,200,719.31163
-391.306461,200,729.478285
-134.553273,200,740.040193
-5.122959,200,750.563676
-240.071827,200,760.89653
-125.285937,200,771.55049
-133.195052,200,782.462077
-123.479809,200,793.120063
-126.774081,200,803.695543
-133.164589,200,814.171334
-137.878583,200,824.675068
-118.356964,200,835.111564
-137.196617,200,845.45631
-5.261969,200,855.8855
-129.615337,200,865.803736
-135.851977,200,876.28369
-256.101344,200,886.659529
-274.044748,200,897.163543
-130.15835,200,907.377084
-236.730559,200,917.747111
-132.117441,200,928.071099
-4.575352,200,938.677158
-135.523517,200,949.104119
-132.684959,200,959.615593
-134.304766,200,969.956103
-138.163778,200,980.40706
-254.010604,200,990.53624
-375.85113,200,1001.050109
-141.827761,200,1011.118115
-229.53833,200,1021.347115
-130.198494,200,1031.745182
-8.246054,200,1042.204611
-348.775811,200,1052.401356
-258.451156,200,1062.714617
-242.548727,200,1073.140172
-132.65722,200,1083.679132
-134.247051,200,1094.011256
-5.115337,200,1104.421168
-141.337579,200,1114.720139
-134.255416,200,1125.13455
-4.114355,200,1135.730198
-115.948358,200,1146.506251
-117.962623,200,1157.086463
-257.779967,200,1167.635164
-342.388652,200,1178.003644
-133.374198,200,1188.691293
-131.896722,200,1199.195721
-121.908831,200,1210.003656
-131.542781,200,1220.459565
-264.709679,200,1231.037276
-235.340556,200,1241.479334
-246.259783,200,1252.062874
-243.528845,200,1262.591435
-9.32054,200,1273.257171
-237.234612,200,1283.78648
-134.218994,200,1294.320194
-277.181242,200,1304.889128
-314.295923,200,1315.493249
-127.606636,200,1326.05368
-5.528149,200,1336.930215
-262.812007,200,1347.555685
-128.739683,200,1358.249495
-127.285591,200,1368.959672
-131.174054,200,1379.690294
-136.728226,200,1390.292733
-248.570139,200,1400.86852
-127.600284,200,1411.665255
-252.353991,200,1422.339425
-135.901242,200,1432.929893
-128.021987,200,1443.619576
-129.909313,200,1454.255732
-132.473812,200,1464.80439
-257.414058,200,1475.477328
-14.504848,200,1485.997224
-271.746608,200,1496.282187
-2.929949,200,1506.808231
-128.627641,200,1517.248521
-145.500709,200,1527.728727
-14.261219,200,1538.108261
-132.873945,200,1548.819661
-130.435598,200,1559.280266
-127.193781,200,1569.826131
-136.537996,200,1580.291465
-3.738014,200,1590.819445
-3.221313,200,1601.736277
-126.258626,200,1611.923748
-142.478588,200,1622.487368
-248.201443,200,1633.182402
-136.678973,200,1643.844267
-129.468413,200,1654.478667
-128.369139,200,1665.049445
-132.134924,200,1675.955272
-128.71943,200,1686.584359
-252.652226,200,1697.340353
-250.839945,200,1708.096277
-140.51464,200,1718.802569
-11.225742,200,1729.341283
-136.713502,200,1740.05531
-237.424362,200,1750.817473
-139.899784,200,1761.518783
-149.177683,200,1772.092184
-131.7493,200,1782.695472
-137.77536,200,1793.34179
-137.31337,200,1804.15171
-233.442088,200,1814.944638
-137.809784,200,1825.687312
-121.191014,200,1835.747305
-7.927463,200,1846.544803
-257.17598,200,1857.276316
-134.926001,200,1867.883809
-8.719536,200,1878.52581
-9.380769,200,1889.463323
-233.230309,200,1900.090817
-128.833406,200,1910.887305
-137.685293,200,1921.610836
-8.664902,200,1932.355337
-243.211485,200,1943.240021
-236.768055,200,1954.730386
-250.642979,200,1965.619378
-135.207017,200,1976.401551
-254.591454,200,1987.210011
-133.141122,200,1997.893554
-135.17206,200,2008.69944
-266.256101,200,2019.681972
-131.543479,200,2030.468643
-136.052929,200,2041.135706
-142.851756,200,2052.243376
-138.847451,200,2063.039309
-132.482076,200,2073.751998
-8.183326,200,2084.393881
-122.788474,200,2095.312489
-133.549127,200,2106.026348
-133.108989,200,2116.840688
-134.35747,200,2127.640496
-129.328624,200,2138.414694
-331.017026,200,2149.209644
-129.474384,200,2160.295892
-254.159444,200,2171.029949
-6.878174,200,2181.930569
-145.372855,200,2192.192745
-125.417251,200,2203.456731
-266.968352,200,2214.211548
-254.193961,200,2224.925698
-132.891403,200,2235.927413
-244.890365,200,2246.758415
-10.534076,200,2257.450546
-125.176632,200,2268.359421
-125.427125,200,2279.04258
-142.61667,200,2289.853394
-133.98003,200,2301.115444
-12.038785,200,2311.941558
-138.337823,200,2322.682688
-132.798291,200,2333.434432
-244.129265,200,2344.068443
-142.343358,200,2354.848898
-12.228982,200,2365.587361
-333.274902,200,2376.521796
-12.860612,200,2387.197502
-11.906529,200,2397.884813
-137.840737,200,2408.604964
-10.843394,200,2419.351455
-131.668642,200,2430.039481
-272.956752,200,2440.959717
-137.098181,200,2451.812877
-129.648141,200,2464.241928
-275.176074,200,2476.247464
-134.259105,200,2488.279517
-138.374416,200,2500.208606
-128.451757,200,2512.359697
-127.315198,200,2524.331481
-138.360232,200,2536.373031
-254.251744,200,2548.430516
-360.111801,200,2560.397795
-236.648285,200,2572.335927
-9.465278,200,2584.737658
-249.615476,200,2596.046515
-230.367699,200,2606.891499
-265.268006,200,2617.662017
-262.190385,200,2628.484504
-147.830965,200,2639.215509
-252.903205,200,2650.050522
