#{"t_start": 1727000877.0923924, "env_id": "None"}
r,l,t
-1689.655314,200,32.190052
-1842.428828,200,44.309689
-1838.526457,200,56.335455
-1805.398128,200,68.424838
-1652.354473,200,81.32993
-1757.271388,200,93.37695
-1800.066373,200,105.219688
-1716.429119,200,117.129852
-1761.175463,200,129.245991
-1720.830334,200,141.139811
-1846.260199,200,153.092408
-1816.883382,200,166.594483
-1828.58082,200,178.672705
-1721.61516,200,190.70449
-1839.969966,200,202.534135
-1777.284121,200,214.409143
-1671.390522,200,226.425764
-1883.279745,200,239.309437
-1848.612621,200,252.23474
-1817.610648,200,264.276913
-1855.817362,200,276.371376
-1715.079689,200,288.460342
-1777.182611,200,300.457561
-1850.288187,200,312.588014
-1860.492899,200,326.327657
-1859.098639,200,338.709972
-1890.250634,200,350.64965
-1896.908237,200,362.569426
-1856.044588,200,374.465057
-1846.312725,200,386.301527
-1871.248077,200,398.566185
-1875.242639,200,411.834133
-1868.387654,200,423.748201
-1816.555365,200,435.605268
-1885.346429,200,447.398896
-1855.482869,200,459.161129
-1837.751875,200,470.973902
-1873.199184,200,484.04944
-1840.556316,200,496.519538
-1862.33597,200,508.295276
-1876.958036,200,520.131501
-1858.219471,200,531.870117
-1861.076595,200,543.601794
-1844.569471,200,555.483561
-1872.503213,200,568.849809
-1866.082625,200,580.884985
-1822.761046,200,592.864047
-1900.029815,200,604.637491
-1835.252856,200,616.495215
-1851.988988,200,628.219102
-1903.503311,200,640.63706
-1713.546949,200,653.459169
-1867.943049,200,665.366166
-1871.677891,200,677.197988
-1840.448171,200,688.946093
-1872.402423,200,700.704492
-1870.319052,200,712.475186
-1765.379722,200,725.692701
-1901.958785,200,738.00784
-1885.778691,200,749.821469
-1793.471686,200,761.637428
-1864.841631,200,773.443302
-1869.040997,200,785.272118
-1861.252513,200,797.089663
-1798.154114,200,810.501874
-1882.340703,200,822.450829
-1649.175531,200,834.148439
-1860.860442,200,846.167307
-1787.062739,200,858.065577
-1826.164513,200,870.108833
-1836.031981,200,882.816968
-1683.073875,200,895.336983
-1717.605734,200,907.279521
-1692.260541,200,919.003819
-1732.253836,200,930.74247
-1575.667512,200,942.464678
-1553.810912,200,954.158991
-1552.450026,200,967.396835
-1530.854291,200,979.33481
-1619.019173,200,990.965878
-1625.393255,200,1002.574257
-1690.737886,200,1014.528341
-1739.007506,200,1027.316871
-1776.580421,200,1040.357445
-1790.741399,200,1054.141137
-1836.440777,200,1067.426112
-1892.809589,200,1080.183093
-1931.16653,200,1092.313173
-1934.741697,200,1104.377054
-1929.845887,200,1116.408535
-1939.944903,200,1129.619822
-1928.664841,200,1142.291387
-1926.151324,200,1154.339086
-1927.82631,200,1166.273061
-1930.604991,200,1178.235271
-1922.345092,200,1190.184521
-1922.404561,200,1202.134031
-1761.323242,200,1215.951231
-1824.966082,200,1228.120004
-1838.525831,200,1240.116218
-1782.201854,200,1252.114876
-1786.327467,200,1263.98315
-1797.902995,200,1275.990572
-1793.681771,200,1288.668741
-1792.337673,200,1301.616272
-1793.384481,200,1313.650061
-1778.489881,200,1325.578301
-1771.536335,200,1337.576125
-1774.641299,200,1349.424481
-1756.863291,200,1361.370536
-1695.838007,200,1374.701406
-1675.525423,200,1387.115354
-1655.499455,200,1399.035745
-1607.763214,200,1410.942554
-1587.614727,200,1422.86302
-1609.845107,200,1434.804273
-1601.740146,200,1446.853119
-1587.610266,200,1460.50095
-1594.325753,200,1472.548077
-1580.817671,200,1484.456115
-1631.911195,200,1496.393728
-1638.000604,200,1508.476507
-1726.357875,200,1520.644842
-1830.975506,200,1533.683451
-1866.133875,200,1546.460301
-1879.879364,200,1558.47314
-1872.780176,200,1570.913984
-1867.766261,200,1583.630149
-1844.708359,200,1595.814668
-1827.145046,200,1608.293646
-1800.509214,200,1622.029387
-1780.670105,200,1634.58133
-1763.895623,200,1646.807768
