#{"t_start": 1727022187.4139118, "env_id": "None"}
r,l,t
-900.687008,200,14.606708
-851.987753,200,27.648976
-1670.242927,200,40.590389
-1357.940139,200,53.650514
-1546.852851,200,67.783858
-1517.56489,200,80.928886
-1395.500246,200,93.950619
-1361.890846,200,106.818
-910.113029,200,119.895689
-1166.717276,200,132.941019
-1231.304169,200,145.980857
-1282.990315,200,160.566945
-1709.376392,200,173.737015
-1048.498186,200,186.921275
-1097.913904,200,200.064522
-1510.889278,200,213.126669
-1288.393116,200,226.234097
-1349.332568,200,240.642824
-1425.172407,200,254.615474
-1547.521012,200,268.13502
-1402.304525,200,281.230725
-978.674863,200,294.404168
-1149.300672,200,307.713987
-1748.959983,200,322.118102
-974.384259,200,337.200522
-1372.249265,200,350.927445
-1569.582926,200,364.856583
-1359.999576,200,378.774536
-1705.799452,200,392.695978
-1175.200602,200,406.051177
-1322.138269,200,419.96861
-1163.586368,200,434.038588
-1449.329279,200,447.415146
-1286.867059,200,460.536334
-733.629984,200,473.656737
-1136.70412,200,486.771785
-1148.98541,200,499.91567
-1461.207517,200,514.711172
-1227.062096,200,528.090391
-1500.09548,200,541.228817
-1250.291416,200,554.42657
-1288.812041,200,567.544774
-1456.901713,200,580.571849
-1420.294316,200,594.188138
-1212.932754,200,608.534958
-1090.780146,200,621.731519
-1269.151698,200,634.771508
-1575.142353,200,647.845534
-1285.277782,200,660.895841
-845.709566,200,673.992777
-1182.20716,200,688.641068
-1027.557468,200,702.28088
-1009.998937,200,715.30129
-1596.862561,200,728.332097
-1447.293176,200,741.367309
-927.036181,200,754.391723
-1388.586035,200,767.557706
-1384.968027,200,782.329724
-985.147004,200,795.63609
-801.965707,200,808.661468
-800.929083,200,821.803849
-1133.683754,200,834.870782
-943.118982,200,847.899502
-791.473105,200,861.832464
-982.406074,200,875.831661
-659.521493,200,889.004417
-1420.455642,200,902.047647
-610.95567,200,915.175858
-775.617354,200,928.23228
-1437.057401,200,941.315853
-1160.478525,200,955.988331
-686.442856,200,969.438553
-913.616535,200,982.532384
-1182.77548,200,995.569018
-786.955116,200,1008.765059
-568.651772,200,1021.924149
-655.366812,200,1035.554876
-782.399708,200,1049.895391
-268.511119,200,1063.07241
-630.993157,200,1076.231245
-139.725529,200,1089.630181
-755.602052,200,1103.060745
-139.43847,200,1116.451787
-383.328196,200,1131.574225
-378.191487,200,1145.528516
-249.705831,200,1158.90529
-507.240602,200,1172.134454
-371.982854,200,1185.416088
-272.625288,200,1198.758605
-383.404354,200,1212.088091
-261.170722,200,1227.238441
-134.080993,200,1240.622931
-136.732163,200,1253.903016
-135.8901,200,1267.11661
-133.392972,200,1280.323508
-133.167937,200,1293.620208
-132.599572,200,1308.043035
-132.846602,200,1322.007328
-259.1507,200,1335.099883
-136.774365,200,1348.060784
-257.693553,200,1361.222953
-499.213414,200,1374.235029
-135.897557,200,1387.339869
-128.627441,200,1402.048346
-132.896298,200,1415.459276
-131.227439,200,1428.572134
-135.109219,200,1441.690111
-259.235338,200,1454.800354
-245.778649,200,1467.895115
-262.92488,200,1481.687253
-132.764516,200,1495.885126
-370.918648,200,1509.088746
-131.552834,200,1522.152267
-135.589758,200,1535.211043
-136.298917,200,1548.346159
-133.236698,200,1561.391996
-133.913776,200,1575.971625
-271.2082,200,1589.488316
-5.133961,200,1602.683949
-256.94701,200,1615.838419
-132.035061,200,1628.961225
-137.019203,200,1642.046091
-249.450903,200,1655.129047
-126.152151,200,1669.977415
-389.244824,200,1683.329702
-350.404976,200,1696.451739
-257.52272,200,1709.587913
-5.507031,200,1722.682628
-249.01007,200,1735.694816
-4.880228,200,1750.108213
-270.568905,200,1763.798385
-128.934966,200,1776.914539
-258.252197,200,1789.92629
-5.8401,200,1802.987549
-129.212866,200,1816.110102
-4.346574,200,1829.107503
-254.494343,200,1843.851987
-243.263633,200,1857.250843
-124.803661,200,1870.434039
-4.812214,200,1883.531199
-133.598457,200,1896.551423
-5.227695,200,1909.682878
-135.294443,200,1923.481664
-253.424308,200,1937.656906
-129.052553,200,1950.849192
-6.957311,200,1963.875144
-359.880511,200,1976.969424
-135.819408,200,1990.064374
-409.20174,200,2003.047738
-132.858021,200,2017.730051
-137.286536,200,2031.309372
-131.581933,200,2044.368601
-366.896176,200,2057.485208
-133.296922,200,2070.538453
-135.319532,200,2083.56842
-133.303785,200,2096.665688
-255.139662,200,2111.489246
-123.249336,200,2124.731021
-139.319094,200,2137.764006
-126.731417,200,2150.806711
-139.086167,200,2163.869249
-251.506991,200,2176.97795
-135.879221,200,2191.211885
-122.970028,200,2205.001918
-252.937319,200,2218.235713
-239.835402,200,2231.300701
-250.041439,200,2244.39704
-137.602864,200,2257.437348
-265.738551,200,2270.520976
-128.348193,200,2285.352491
-6.446087,200,2298.73416
-130.927067,200,2311.805244
-355.216623,200,2324.918875
-251.433781,200,2337.965045
-138.545975,200,2351.035951
-137.993653,200,2365.123492
-261.309924,200,2379.187719
-248.172738,200,2392.331352
-132.185699,200,2405.382773
-141.020034,200,2418.484161
-140.598817,200,2431.551401
-389.520432,200,2444.618748
-130.079363,200,2459.227182
-137.119595,200,2472.732573
-269.306319,200,2485.79526
-136.240227,200,2498.949462
-128.782612,200,2511.99043
-272.712671,200,2525.052873
-132.092894,200,2538.628493
-138.26413,200,2553.130295
-135.653532,200,2566.350175
-129.501202,200,2579.373462
-128.049812,200,2592.481845
-131.502817,200,2605.628902
-364.210619,200,2618.68874
-123.177363,200,2633.166286
-7.505974,200,2646.855809
-129.537237,200,2659.891357
-5.406191,200,2673.028835
-132.988039,200,2686.094718
-255.172793,200,2699.129067
-385.24928,200,2712.207915
-256.809333,200,2727.081424
-144.912024,200,2740.486831
-343.537687,200,2753.518455
-130.274731,200,2766.655798
-140.311049,200,2779.743503
-139.405035,200,2792.824329
-131.425398,200,2806.98618
-128.370234,200,2820.818853
-358.606598,200,2834.048524
-7.18425,200,2847.122926
-333.765163,200,2860.293592
-127.83414,200,2873.348704
-360.638446,200,2886.386582
-121.401969,200,2901.111358
-262.314298,200,2914.547141
-251.415694,200,2927.765503
-127.587105,200,2940.771766
-125.953725,200,2953.940644
-127.713341,200,2967.000355
-137.496047,200,2980.968267
-248.835457,200,2995.123011
-126.894422,200,3008.311997
-273.317114,200,3021.401327
