#{"t_start": 1727013217.601779, "env_id": "None"}
r,l,t
-1812.878737,200,21.29897
-1484.158601,200,35.310844
-2646.987343,200,49.128509
-1437.751176,200,62.998734
-1916.107145,200,78.061938
-1795.152605,200,92.218217
-2341.864724,200,106.057261
-1795.962647,200,119.907857
-1825.154025,200,133.673222
-1606.944599,200,147.863997
-2135.420955,200,161.603572
-2479.397905,200,177.453676
-2178.208277,200,191.577188
-1569.535611,200,205.400078
-1755.166201,200,219.325473
-1651.224996,200,233.197922
-1417.28384,200,246.998817
-2016.203632,200,262.033877
-2264.892293,200,276.817091
-1456.419977,200,290.700888
-2569.658653,200,304.53261
-1642.302539,200,318.433493
-2636.829298,200,332.386391
-1878.705592,200,346.172616
-2625.083381,200,361.924552
-2259.527078,200,376.182133
-1559.187231,200,390.075202
-2021.174024,200,403.876221
-2560.984905,200,417.699765
-2087.528979,200,431.486451
-1390.421081,200,446.532952
-2805.928699,200,461.220883
-2270.716672,200,475.125438
-1822.864142,200,488.906851
-2430.354944,200,502.702441
-1818.77577,200,516.576874
-1453.29597,200,530.382821
-1802.790569,200,545.968541
-1592.5205,200,560.2196
-1799.886866,200,574.108907
-1655.47709,200,588.076035
-2234.715382,200,601.908816
-1676.131991,200,615.736036
-1938.108164,200,630.402218
-1579.389916,200,645.446556
-1792.498469,200,659.415161
-1809.808455,200,673.275195
-2455.89265,200,687.192207
-1556.755135,200,701.098742
-1859.320124,200,714.890409
-1535.343252,200,730.442087
-1410.456596,200,744.786082
-1378.908583,200,758.586474
-1405.057081,200,772.471509
-1668.812704,200,786.201122
-1637.722808,200,800.075365
-3255.668648,200,814.451468
-1774.229347,200,829.720845
-1360.560392,200,843.666701
-2664.488004,200,857.505215
-1742.175762,200,871.415027
-2576.637166,200,885.34358
-1816.481581,200,899.181056
-1797.258472,200,914.572837
-1231.290561,200,929.067491
-1474.152094,200,942.861378
-1564.843528,200,956.727646
-1526.707717,200,970.528429
-1559.174604,200,984.390277
-1688.49652,200,998.35956
-1507.468807,200,1014.167669
-1565.918457,200,1028.169288
-1535.518171,200,1041.986473
-1729.03549,200,1055.889364
-1478.6654,200,1069.731276
-1510.178594,200,1083.61872
-1428.623481,200,1098.764269
-1522.255047,200,1113.390638
-1554.697143,200,1127.254793
-1371.835581,200,1141.13082
-1486.252895,200,1154.961048
-1465.912582,200,1168.808903
-1508.373912,200,1182.632511
-1493.133824,200,1198.405695
-1486.054899,200,1212.547685
-1477.337633,200,1226.469485
-978.118755,200,1240.274778
-1443.886736,200,1254.266807
-1007.699599,200,1268.048801
-1480.205229,200,1283.01945
-1479.35545,200,1297.9018
-984.567435,200,1311.868755
-1472.821804,200,1325.785761
-1491.043639,200,1339.607101
-1477.462206,200,1353.51101
-1495.508045,200,1367.401046
-769.76443,200,1383.080613
-776.252607,200,1397.286823
-1457.594683,200,1411.188483
-497.671206,200,1425.005261
-1475.966113,200,1438.926566
-497.170131,200,1452.743261
-1472.24872,200,1467.561684
-5.81754,200,1482.550582
-1407.243336,200,1496.503221
-1431.640259,200,1510.43839
-1415.040016,200,1524.269012
-220.676377,200,1538.144022
-329.242918,200,1552.005125
-273.831794,200,1567.617438
-1314.343153,200,1581.844116
-246.973813,200,1595.723357
-307.651761,200,1609.612225
-249.930133,200,1623.56468
-250.293505,200,1637.416453
-276.173897,200,1651.915941
-1455.841056,200,1667.16735
-1450.778648,200,1681.183753
-1452.648776,200,1695.001807
-276.386716,200,1708.899487
-419.94425,200,1722.709742
-1463.724329,200,1736.544351
-180.739566,200,1752.041249
-1416.166155,200,1766.481599
-152.391659,200,1780.32865
-1384.288261,200,1794.300978
-247.779052,200,1808.167649
-1351.692144,200,1821.998956
-1371.465294,200,1835.921464
-244.916628,200,1851.68006
-1330.796633,200,1865.763209
-5.683327,200,1879.502751
-1072.708888,200,1893.296577
-973.144157,200,1907.048863
-1360.668208,200,1920.851517
-249.965157,200,1936.164841
-610.846721,200,1950.642904
-251.371442,200,1964.371202
-467.020825,200,1978.152214
-6.286674,200,1991.993258
-514.833115,200,2005.847858
-562.019111,200,2019.64837
-215.391051,200,2035.386659
-213.58857,200,2049.445942
-304.287923,200,2063.242028
-250.821675,200,2076.990663
-463.26847,200,2090.685898
-607.625906,200,2104.434538
-304.836136,200,2119.465823
-488.145967,200,2134.011732
-599.747553,200,2147.804581
-399.093211,200,2161.560887
-487.502315,200,2175.353406
-453.10631,200,2189.137642
-463.244002,200,2202.849682
-217.167915,200,2218.409716
-458.018614,200,2232.440608
-276.021716,200,2246.260235
-236.893693,200,2259.986426
-458.620489,200,2273.704503
-355.669506,200,2287.385918
-7.253733,200,2301.844278
-7.342733,200,2316.851126
-180.715487,200,2330.704108
-382.560991,200,2344.39077
-230.077608,200,2358.153455
-329.698265,200,2371.901024
-4.163832,200,2385.546364
-7.918415,200,2400.87725
-6.249629,200,2415.10004
-246.576309,200,2428.917605
-238.175582,200,2442.650967
-233.645782,200,2456.335719
-242.627624,200,2470.106863
-235.927471,200,2484.009737
-3.911239,200,2499.927583
-214.21324,200,2514.036179
-117.321159,200,2528.165146
-4.088526,200,2542.168793
-241.512351,200,2556.012422
-218.284401,200,2569.741648
-245.57214,200,2584.847685
-327.291111,200,2599.294286
-242.630075,200,2613.22978
-211.222214,200,2626.934664
-3.580776,200,2640.663997
-3.417207,200,2654.412266
-247.5906,200,2668.280527
-249.20971,200,2683.813473
-208.605177,200,2697.783766
-339.393959,200,2711.554456
-242.635137,200,2725.438083
-273.476337,200,2739.297147
-219.431409,200,2753.17214
-238.508312,200,2768.165135
-339.137705,200,2782.714736
-248.025262,200,2796.654062
-273.730998,200,2810.41071
-249.694723,200,2824.210982
-208.669852,200,2837.970076
-248.397217,200,2851.871704
-250.644933,200,2867.453063
-216.332329,200,2881.470534
-222.357413,200,2895.220694
-3.121461,200,2909.07443
-242.610961,200,2922.88128
-3.252196,200,2936.628793
-217.654505,200,2951.381925
-2.966783,200,2966.220609
-238.597916,200,2980.13485
-217.729568,200,2993.916014
-264.974104,200,3007.694022
-241.965072,200,3021.448744
-358.896775,200,3035.354497
-355.6801,200,3050.870551
-217.534101,200,3065.008175
-219.566724,200,3078.855476
-3.465349,200,3092.723579
-214.334223,200,3106.625623
-271.622044,200,3120.369496
-248.219546,200,3134.883159
-3.453764,200,3149.946035
-256.601485,200,3163.95013
-352.705167,200,3177.815583
-371.14618,200,3191.609168
-219.146458,200,3205.396777
-218.787267,200,3219.253846
-239.827133,200,3234.662346
-476.766025,200,3248.994157
-365.661033,200,3262.749873
-238.198425,200,3276.600351
-334.03156,200,3290.454376
-215.389571,200,3304.257
-125.437844,200,3318.096046
-373.887075,200,3333.909142
-3.271647,200,3348.0415
-147.748396,200,3361.930128
-241.714182,200,3375.780132
-118.276668,200,3389.671903
-365.102684,200,3403.547357
-246.346095,200,3418.691166
-234.398334,200,3433.301817
-215.094456,200,3447.167369
-272.332965,200,3461.024526
-389.070476,200,3474.930327
-354.685648,200,3488.754688
-328.795003,200,3502.549543
-238.716846,200,3518.311139
-365.237693,200,3532.481039
-214.694812,200,3546.314635
-251.607942,200,3560.151102
-360.68351,200,3574.00623
-221.145756,200,3587.852543
-345.79276,200,3602.55552
-3.748852,200,3617.562968
-216.444714,200,3631.551397
-249.426708,200,3645.38514
-271.942923,200,3659.299421
-244.090218,200,3673.14172
-466.74215,200,3686.980192
-239.794674,200,3702.644109
-215.068958,200,3716.883641
-361.349467,200,3730.842558
-236.230193,200,3744.92282
-212.578614,200,3758.958762
-250.911283,200,3772.890156
-241.32422,200,3787.307672
-179.348049,200,3802.503164
-347.467851,200,3816.485731
-210.488171,200,3830.283921
-239.855898,200,3844.070516
-210.953634,200,3857.882486
-3.390778,200,3871.65086
-356.112121,200,3886.959162
-448.210036,200,3901.302048
-216.205059,200,3915.192855
-346.484844,200,3929.156082
-5.766079,200,3943.030733
-241.829742,200,3957.273246
-213.446943,200,3971.189837
-240.43774,200,3986.914921
-272.190525,200,4000.927001
-245.407551,200,4014.75826
-3.627827,200,4028.581538
-272.764185,200,4042.621281
-215.084298,200,4056.632582
-3.426595,200,4071.647341
-272.269708,200,4086.421114
-231.94631,200,4100.473254
-359.300147,200,4114.381878
-247.81782,200,4128.405938
-254.58151,200,4142.434172
-364.21778,200,4156.409362
-242.854738,200,4172.194727
-208.763168,200,4186.519678
-304.811305,200,4200.448514
-210.901677,200,4214.385263
-212.653281,200,4228.454261
-245.22473,200,4242.370671
-354.749825,200,4257.158773
-244.070524,200,4273.099955
-363.28826,200,4287.835215
-231.978032,200,4302.441047
-210.701134,200,4317.114625
-182.191431,200,4331.771065
-244.594263,200,4346.401675
-228.6923,200,4362.76917
-372.12216,200,4377.809224
-359.71258,200,4392.441374
-230.027778,200,4407.088372
-208.13957,200,4421.707755
-451.62932,200,4436.272442
-210.044596,200,4451.581273
-272.221193,200,4467.627123
-241.004977,200,4482.414204
-353.492043,200,4496.941327
-238.709472,200,4511.63977
-249.445115,200,4526.249132
-247.565623,200,4540.833217
-248.274949,200,4557.217643
-230.862009,200,4572.378925
-494.567416,200,4587.001372
-243.495121,200,4601.376702
-237.13997,200,4615.232091
-245.879172,200,4629.09093
-237.275059,200,4642.983832
-212.709742,200,4658.817905
-339.508753,200,4672.854399
-245.164758,200,4686.74341
-235.365509,200,4700.644261
-247.460272,200,4714.566265
-117.930849,200,4728.442288
-3.086753,200,4743.732691
-366.187921,200,4758.18279
-304.245391,200,4771.9957
-245.995435,200,4785.830105
-236.627243,200,4799.608742
-360.700207,200,4813.419132
-215.064841,200,4827.312935
-239.17221,200,4842.94228
-419.435952,200,4856.987964
-345.885669,200,4870.811919
-240.130391,200,4884.728045
-270.817889,200,4898.66307
-248.694136,200,4912.569668
-245.003285,200,4927.55204
-214.614278,200,4942.359663
-2.644303,200,4956.335792
-2.835626,200,4970.216941
-115.999456,200,4984.06401
-235.014731,200,4997.982313
-244.945218,200,5011.894842
-248.956782,200,5027.443523
-4.167755,200,5042.067864
-245.721487,200,5056.670114
-227.734005,200,5071.346702
-234.631277,200,5085.93739
-239.091867,200,5100.670361
-3.404121,200,5116.039966
-211.133843,200,5132.063958
-3.38921,200,5146.771783
-478.914974,200,5161.309255
-177.499577,200,5175.858041
-211.732693,200,5190.4726
-214.870323,200,5205.104613
-148.269332,200,5221.494784
-228.017112,200,5236.543364
-218.124877,200,5251.317552
-247.717108,200,5265.962147
-235.203851,200,5280.601752
-247.950268,200,5295.227404
-239.621287,200,5309.907485
-346.426367,200,5326.549895
-234.446061,200,5341.430776
-3.059352,200,5356.103571
-302.509811,200,5370.843509
-248.478921,200,5384.990204
-3.195351,200,5398.755596
-238.903098,200,5414.010912
-210.415352,200,5428.492738
-349.33925,200,5442.560163
-385.48771,200,5456.601336
-339.564802,200,5470.541985
-244.459837,200,5484.630227
-249.727269,200,5498.989562
-215.182895,200,5514.850152
-219.188002,200,5529.106842
-230.905503,200,5542.950119
-246.452298,200,5556.965395
-248.756436,200,5570.837162
-356.496438,200,5584.813361
-209.669144,200,5599.763555
-117.045107,200,5614.734946
-273.797293,200,5628.658209
-240.918065,200,5642.572449
-317.176535,200,5656.500972
-214.350608,200,5670.478865
-340.167576,200,5684.379674
-244.206255,200,5699.994529
-214.994784,200,5714.225906
-146.181795,200,5728.151444
-248.659365,200,5742.023346
-386.067806,200,5755.845109
-343.566038,200,5769.731452
-251.233547,200,5784.228828
-384.89386,200,5799.58849
-218.835719,200,5813.513473
-366.532116,200,5827.284518
-356.473699,200,5841.153169
-218.241367,200,5855.042595
-245.033931,200,5868.892806
-208.808878,200,5884.194143
-208.508348,200,5898.676571
-244.609271,200,5912.518579
-232.955156,200,5926.363941
-208.00654,200,5940.173109
-211.641764,200,5953.977011
-240.858618,200,5968.001196
-217.058616,200,5983.851539
-236.605529,200,5997.946156
-354.379808,200,6011.78628
-218.07844,200,6025.61054
-213.724093,200,6039.487393
-344.74372,200,6053.329605
-217.187754,200,6068.583115
-3.104254,200,6083.204001
-213.635728,200,6097.139038
-364.7415,200,6111.031863
-349.624742,200,6124.862081
-4.187593,200,6138.692426
-214.1942,200,6152.625427
-348.963725,200,6168.367415
-340.998168,200,6182.428371
-213.469528,200,6196.228454
-218.44991,200,6210.073402
-228.073767,200,6223.970618
-237.76008,200,6237.887516
-217.769355,200,6252.853672
-241.142014,200,6267.575353
-337.954143,200,6281.545208
-244.540833,200,6295.415048
-240.454504,200,6309.251947
-350.521127,200,6323.08896
-341.388292,200,6336.94623
-234.59342,200,6352.660912
-356.57738,200,6366.827142
-303.904953,200,6380.641523
-234.47493,200,6394.460213
-244.713955,200,6408.306267
-312.423029,200,6422.215769
-245.352385,200,6436.788421
-217.510972,200,6451.802732
-3.534749,200,6465.739803
-246.386224,200,6479.723986
-358.023914,200,6493.574417
-4.505743,200,6507.451182
-353.737133,200,6521.203642
-3.013586,200,6536.729847
-121.345185,200,6550.974846
-245.508256,200,6564.878117
-409.749233,200,6578.727705
-324.020644,200,6592.629073
-348.589849,200,6606.529109
-352.368729,200,6620.800056
-247.114991,200,6636.089024
-220.914243,200,6650.095189
-247.789122,200,6663.983236
-218.949456,200,6677.760487
-363.36698,200,6691.672986
-244.454787,200,6705.479022
-247.883235,200,6720.910989
-226.59925,200,6735.29666
-176.554969,200,6749.143599
-4.485979,200,6762.955543
-3.21912,200,6776.836048
-4.216272,200,6790.722488
-3.4906,200,6804.528373
-4.99879,200,6820.230448
-335.599535,200,6834.257205
-275.412467,200,6848.207566
-225.006633,200,6861.994095
-321.137551,200,6875.999175
-208.396907,200,6889.913135
-224.305943,200,6905.192211
-273.630485,200,6919.769059
-346.19716,200,6933.743943
