#{"t_start": 1726831320.2286901, "env_id": "None"}
r,l,t
-1211.590924,137,366.805819
-125.864649,11,367.651127
-102.381934,1,367.733487
-104.806079,9,368.432676
-358.348231,38,376.332138
-1719.706488,200,525.207051
-197.928489,13,535.344085
-107.434513,7,541.077618
-1523.620627,200,686.639465
-1512.864858,200,838.503642
-1503.693525,200,854.135942
-103.645765,1,854.2155
-1471.64655,200,869.645223
-1499.878079,200,885.471459
-102.045707,1,885.558058
-1505.157982,200,901.076242
-102.764187,2,901.230071
-102.117717,1,901.308568
-333.067539,55,905.654421
-1193.657962,200,921.284043
-1314.64829,200,936.774209
-111.151533,7,937.321448
-108.16884,5,937.707453
-957.948848,200,953.077247
-1496.202167,200,968.764657
-1496.666677,200,982.547486
-1182.604016,200,992.831316
-1255.863626,200,1002.88816
-222.413439,45,1005.395611
-587.728028,84,1009.536595
-1277.412658,200,1020.260666
-1356.157039,200,1030.755066
-1222.739192,200,1041.114168
-1496.893373,200,1051.656956
-1512.506886,200,1061.976264
-110.932068,13,1062.660062
-1225.957339,200,1072.497132
-101.697143,1,1072.542089
-1159.334486,200,1082.491341
-112.612325,26,1083.855075
-1225.701802,200,1094.244836
-6.88074,200,1104.581632
-1320.325181,200,1114.69155
-1.990101,200,1124.683111
-209.806646,18,1125.60858
-1501.885047,200,1135.800138
-2.472104,200,1146.207807
-1491.672002,200,1156.609614
-325.271818,36,1158.444274
-102.092224,1,1158.495452
-330.573196,33,1160.210614
-198.793799,13,1160.860339
-233.724802,19,1161.830369
-120.755479,200,1172.473174
-194.022805,18,1173.415056
-201.96663,15,1174.187755
-1498.08768,200,1184.434124
-1.770907,200,1194.805239
-186.548086,11,1195.35229
-196.907191,12,1195.973646
-195.615001,12,1196.580657
-106.139761,4,1196.782415
-311.151136,28,1198.205132
-1.366654,200,1208.587144
-306.259137,34,1210.37462
-101.626792,1,1210.422157
-130.47507,8,1210.844612
-196.620744,12,1211.466331
-441.617117,55,1214.273129
-195.748283,12,1214.885309
-205.312656,14,1215.607125
-316.968653,31,1217.20758
-196.184842,12,1217.823133
-123.402236,200,1228.12843
-108.685249,7,1228.499864
-191.143643,11,1229.065452
-201.515994,13,1229.746134
-109.471282,12,1230.376501
-189.581888,11,1230.954099
-193.805941,11,1231.701637
-131.318084,10,1232.215841
-436.601247,50,1234.803166
-108.55063,7,1235.164095
-258.915977,33,1236.890906
-101.371067,1,1236.943264
-200.216291,13,1237.621623
-200.925369,13,1238.296254
-127.952066,12,1238.927173
-326.483049,33,1240.648226
-125.989688,8,1241.055177
-195.406569,12,1241.67317
-101.90219,1,1241.732139
-102.002439,1,1241.783638
-197.131811,12,1242.422186
-122.634214,200,1252.713147
-109.408639,10,1253.23034
-3.577293,200,1263.737559
-103.06954,1,1263.785135
-185.085544,11,1264.38313
-112.047091,19,1265.377137
-411.999991,45,1267.733166
-193.35591,11,1268.311663
-110.379874,10,1268.850635
-181.039863,10,1269.372231
-127.262064,13,1270.033158
-101.8487,1,1270.09313
-474.152691,51,1272.78514
-104.017411,1,1272.831955
-101.92734,1,1272.885231
-190.014374,11,1273.462337
-256.318485,200,1283.779646
-103.433217,1,1283.83066
-103.751414,1,1283.886321
-195.102575,12,1284.506428
-187.207537,12,1285.137597
-205.069539,14,1285.861414
-429.750574,48,1288.334188
-186.988044,12,1288.96811
-195.329281,12,1289.587185
-184.55011,11,1290.147547
-195.15418,12,1290.784331
-199.410342,13,1291.459674
-102.253818,1,1291.51021
-104.371327,3,1291.664634
-103.324708,1,1291.724508
-292.686456,30,1293.296309
-192.527429,11,1293.885662
-302.856529,28,1295.51528
-119.66642,200,1305.773154
-4.631281,200,1316.444195
-192.242578,11,1317.006464
-300.207737,27,1318.404636
-101.66165,1,1318.458199
-199.446857,13,1319.143183
-184.004237,11,1319.755272
-181.957084,11,1320.38187
-6.277616,200,1330.780693
-212.102098,15,1331.551657
-191.263066,11,1332.116159
-297.789959,27,1333.510665
-102.695908,1,1333.570031
-101.725108,1,1333.624274
-352.115563,61,1336.859286
-193.06487,11,1337.426481
-103.888182,1,1337.485288
-391.462637,40,1339.581588
-103.088616,1,1339.63214
-7.953284,200,1350.495643
-192.4106,11,1351.059662
-131.598016,200,1361.925166
-224.676282,46,1364.3432
-186.707711,11,1364.902178
-101.92699,1,1364.951681
-101.969945,1,1365.005178
-195.185662,12,1365.651753
-101.581312,1,1365.70719
-195.399057,12,1366.384173
-112.032306,13,1367.127601
-102.947265,1,1367.177227
-195.458455,12,1367.809577
-182.119041,11,1368.388634
-141.734389,10,1368.906334
-205.992901,14,1369.676144
-195.101516,12,1370.299358
-103.778771,1,1370.361418
-183.23531,13,1371.019505
-11.367551,200,1381.474254
-129.84965,200,1391.858242
-114.359557,7,1392.222085
-12.711474,200,1402.623201
-179.413843,10,1403.16556
-197.902359,12,1403.789701
-102.229564,1,1403.850209
-300.898312,33,1405.601705
-14.334276,200,1415.949705
-129.183677,17,1416.858539
-198.092935,13,1417.556927
-180.646174,11,1418.147413
-193.717961,12,1418.786339
-193.749525,12,1419.418638
-332.214067,30,1421.023187
-197.835336,13,1421.712468
-199.701828,13,1422.409529
-198.320329,13,1423.097384
-333.052115,32,1424.969523
-204.103393,15,1425.724428
-15.0351,200,1436.071204
-102.470693,1,1436.130593
-323.524225,29,1437.634265
-197.829717,13,1438.339585
-103.122743,2,1438.451495
-104.476775,3,1438.609703
-106.962751,4,1438.826622
-311.387954,33,1440.624344
-196.698493,13,1441.34354
-133.104214,200,1451.70769
-306.454558,29,1453.190324
-207.16149,14,1453.918313
-394.569448,39,1455.928985
-112.017846,12,1456.563237
-134.396227,8,1457.022391
-132.757493,8,1457.434511
-101.30614,1,1457.490578
-314.457738,28,1458.958237
-103.120939,1,1459.01732
-18.017413,200,1469.364679
-323.347904,31,1470.931149
-299.878221,26,1472.298353
-102.086552,1,1472.364576
-319.874822,37,1474.297323
-298.845022,26,1475.665472
-193.676374,12,1476.28322
-115.722795,24,1477.537149
-103.05739,2,1477.633294
-289.639015,25,1478.926091
-199.92686,14,1479.646848
-201.223362,13,1480.341372
-102.688919,1,1480.399966
-103.381586,1,1480.464943
-104.38674,3,1480.624497
-106.24255,4,1480.823371
-140.512953,9,1481.296769
-311.119608,30,1482.866099
-322.190973,40,1484.976479
-196.443925,13,1485.657673
-19.617384,200,1496.257471
-199.491987,13,1496.912564
-201.342083,13,1497.588729
-201.687455,14,1498.339731
-17.813181,200,1508.984383
-103.718364,1,1509.041728
-101.846205,1,1509.090717
-330.649691,30,1510.668782
-228.647935,17,1511.572441
-102.832736,2,1511.674425
-324.143609,41,1513.81622
-205.82783,16,1514.659554
-244.110427,35,1516.497408
-106.216342,5,1516.765718
-299.262636,26,1518.136221
-112.136963,19,1519.143256
-316.198174,30,1521.24669
-193.929322,11,1522.028422
-315.092236,33,1524.589662
-199.950635,13,1525.566185
-201.686412,14,1526.427289
-195.376855,12,1527.062455
-18.040818,200,1537.563418
-201.837505,13,1538.243786
-202.744458,14,1538.977238
-198.865488,13,1539.665376
-318.245818,31,1541.329429
-198.742957,13,1542.018379
-102.21693,1,1542.068731
-312.366801,30,1543.665489
-18.006183,200,1554.193383
-102.980275,1,1554.249235
-17.030306,200,1564.966728
-303.900117,28,1566.425246
-190.732796,11,1567.018704
-194.670981,12,1567.655522
-103.536485,1,1567.707307
-16.097647,200,1578.328282
-103.585749,1,1578.379755
-326.525117,30,1579.970912
-325.98331,29,1581.510264
-102.247084,1,1581.566275
-103.54821,1,1581.615488
-195.311649,12,1582.29335
-200.696282,13,1582.975244
-189.54887,11,1583.539853
-185.612519,11,1584.133265
-309.191023,31,1585.797244
-316.400304,31,1587.463388
-308.731691,27,1588.921409
-305.4337,27,1590.349685
-311.846698,30,1591.803279
-111.612802,15,1592.525278
-322.093965,29,1593.896531
-192.1472,11,1594.417277
-107.691782,7,1594.749695
-194.624291,12,1595.315254
-15.555078,200,1605.624748
-101.811363,1,1605.683298
-195.61531,12,1606.313356
-318.815568,28,1607.82637
-214.589355,15,1608.657256
-14.899197,200,1619.209753
-132.033134,200,1630.027835
-305.796862,39,1632.120117
-103.521159,1,1632.169413
-15.801876,200,1642.753249
-108.125043,8,1643.187359
-341.566978,30,1644.812683
-200.846947,13,1645.576381
-104.998719,4,1645.789755
-103.927857,1,1645.848786
-312.093344,27,1647.255951
-15.908219,200,1657.884593
-183.026779,11,1658.478809
-177.373524,10,1659.011271
-326.989288,29,1660.569721
-186.414567,11,1661.150762
-130.044387,200,1671.682012
-307.583488,29,1673.273319
-192.654159,14,1674.019478
-13.429463,200,1684.614321
-314.264324,36,1686.655411
-200.468594,13,1687.353326
-127.817062,8,1687.780773
-110.857386,10,1688.286281
-206.536104,14,1689.000672
-190.91686,11,1689.586644
-306.257501,27,1691.006298
-102.004819,1,1691.060807
-103.486991,1,1691.114309
-192.501109,11,1691.699785
-103.715103,1,1691.75179
-189.306809,11,1692.366323
-195.379129,12,1693.047283
-111.30036,11,1693.640304
-198.72879,12,1694.303303
-103.357758,1,1694.361797
-318.560926,29,1695.887797
-127.377919,200,1706.343436
-195.766906,12,1706.967576
-128.271473,200,1717.569787
-134.461348,200,1727.91331
-14.291017,200,1738.376899
-293.437061,25,1739.698304
-113.495161,31,1741.324584
-313.728886,29,1743.109628
-136.704259,9,1743.606353
-102.860439,2,1743.706608
-322.962349,28,1745.185362
-317.677752,31,1746.785382
-181.913476,11,1747.366302
-318.071511,28,1748.827841
-102.19081,1,1748.88082
-102.062837,1,1748.928702
-109.631667,10,1749.449777
-192.816221,14,1750.365808
-13.549055,200,1760.928854
-9.452084,200,1771.469832
-102.48992,1,1771.531768
-188.998437,16,1772.349333
-299.952624,31,1773.981847
-102.186707,1,1774.034334
-103.217876,1,1774.09337
-188.371797,12,1774.734712
-308.270502,27,1776.16962
-123.661866,8,1776.590452
-4.867513,200,1787.127485
-102.110096,1,1787.177611
-347.123935,30,1788.727355
-107.8474,7,1789.090822
-184.151636,10,1789.610745
-200.407165,13,1790.324439
-102.057966,1,1790.370816
-107.733484,7,1790.726325
-207.886763,15,1791.49643
-200.906597,13,1792.196355
-317.722501,29,1793.746428
-190.435308,11,1794.324284
-194.378288,11,1794.906504
-101.360735,1,1794.96532
-112.663859,27,1796.389822
-330.772934,29,1797.950765
-1.499934,200,1808.450341
-311.371256,37,1810.366766
-195.60769,12,1811.003334
-195.542003,12,1811.618578
-103.525077,1,1811.67751
-211.510857,15,1812.484798
-110.825858,10,1813.020782
